split,comparison,metric,estimate,ci_95_low,ci_95_high
full_100_meshes,magiccut_minus_material_magic_wand,f1,-0.2446030258837418,-0.30868316382536654,-0.18181557957231304
full_100_meshes,magiccut_minus_material_magic_wand,ranking_ap,-0.022506438585874783,-0.03326566339322966,-0.012415322382062655
full_100_meshes,active_3_minus_material_magic_wand,f1,-0.10531227951012512,-0.16661538411080018,-0.047254593439274024
full_100_meshes,active_3_minus_material_magic_wand,ranking_ap,-0.005463613280886168,-0.016837778629640313,0.006369906386631137
full_100_meshes,active_3_minus_magiccut,f1,0.1392907463736166,0.11627154746270987,0.16220517570454937
full_100_meshes,active_3_minus_magiccut,ranking_ap,0.017042825304988615,0.007891782014228757,0.02742487993514933
heldout_94_meshes,magiccut_minus_material_magic_wand,f1,-0.2574543974965938,-0.3240991115057852,-0.19318718399646617
heldout_94_meshes,magiccut_minus_material_magic_wand,ranking_ap,-0.02140713767015941,-0.03210026953785507,-0.012091521176879217
heldout_94_meshes,active_3_minus_material_magic_wand,f1,-0.11461287441880923,-0.18122482352777528,-0.05505690013326087
heldout_94_meshes,active_3_minus_material_magic_wand,ranking_ap,-0.006711363193886279,-0.018784585030927402,0.005110994488982348
heldout_94_meshes,active_3_minus_magiccut,f1,0.1428415230777846,0.11954179020510428,0.16637063561631796
heldout_94_meshes,active_3_minus_magiccut,ranking_ap,0.014695774476273132,0.006734064902497231,0.02344553339844936
